name,lat,lng,type,size,shape,Primary Market,Airing,Participant,PRX Dovetail hosts,Impact,audio,Podcast Portfolio,Total Donors,To PRX,To Radiotopia,To <i>Ear Hustle</i>,To <i>The World</i>,Other,Downloads in FY25
WRJA-FM:,34.0008322,-81.035147,broadcast,xlarge,,"Columbia, SC","<i>Embodied | Jazz Happening Now | Latino USA | Left, Right & Center | Living On Earth | Christopher Kimball's Milk Street Radio | No Small Endeavor | Reveal | The Ezra Klein Show | The World | Think | This American Life | To the Best of Our Knowledge</i>",,,,,,,,,,,,
WNSC-FM:,35.0711894,-80.7769706,broadcast,xlarge,,"Rock Hill, SC/Charlotte, NC","<i>Embodied | Jazz Happening Now | Latino USA | Left, Right & Center | Living On Earth | Christopher Kimball's Milk Street Radio | No Small Endeavor | Reveal | The Ezra Klein Show | The World | Think | This American Life | To the Best of Our Knowledge</i>",,,,,,,,,,,,
WLJK-FM:,33.4923509,-81.9714545,broadcast,xlarge,,"Aiken/Augusta, SC","<i>Embodied | Jazz Happening Now | Latino USA | Left, Right & Center | Living On Earth | Christopher Kimball's Milk Street Radio | No Small Endeavor | Reveal | The Ezra Klein Show | The World | Think | This American Life | To the Best of Our Knowledge</i>",,,,,,,,,,,,
WJWJ-FM:,32.216316,-80.752608,broadcast,xlarge,,"Beaufort/Hilton Head, SC","<i>Embodied | Jazz Happening Now | Latino USA | Left, Right & Center | Living On Earth | Christopher Kimball's Milk Street Radio | No Small Endeavor | Reveal | The Ezra Klein Show | The World | Think | This American Life | To the Best of Our Knowledge</i>",,,,,,,,,,,,
WHMC-FM:,33.8360034,-79.0478143,broadcast,xlarge,,"Conway/Myrtle Beach, SC","<i>Embodied | Jazz Happening Now | Latino USA | Left, Right & Center | Living On Earth | Christopher Kimball's Milk Street Radio | No Small Endeavor | Reveal | The Ezra Klein Show | The World | Think | This American Life | To the Best of Our Knowledge</i>",,,,,,,,,,,,
KALW-FM:,37.7749295,-122.4194155,broadcast,xlarge,,"San Francisco, CA","<i>Afropop Worldwide | Latino USA | Left, Right & Center | Living On Earth | PRX Remix | Reveal | Selected Shorts | Snap Judgment | The Moth Radio Hour | This American Life | To the Best of Our Knowledge</i>",,,,,,,,,,,,
KJZZ-FM:,33.4482266,-112.0776781,broadcast,xlarge,,"Phoenix, AZ","<i>Embodied | Latino USA | Left, Right & Center | Live Wire | Christopher Kimball's Milk Street Radio | No Small Endeavor | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life</i>",,,,,,,,,,,,
KUTU-FM:,37.0965278,-113.5684164,broadcast,xlarge,,"St George, UT",<i>Afropop Worldwide | Embodied | Latino USA | PRX Remix | PRX Remix | Reveal | Snap Judgment | Sound Opinions | The Moth Radio Hour | This American Life | To the Best of Our Knowledge</i>,,,,,,,,,,,,
WYPR-FM:,39.314597,-76.616815,broadcast,xlarge,,"Baltimore, MD","<i>Embodied | Latino USA | Left, Right & Center | Live Wire | Living On Earth | Reveal | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | Think</i>",,,,,,,,,,,,
WYPO-FM:,38.3345422,-75.0846016,broadcast,xlarge,,"Ocean City, MD","<i>Embodied | Latino USA | Left, Right & Center | Live Wire | Living On Earth | Reveal | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | Think</i>",,,,,,,,,,,,
